yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavalueunit,datavaluetype,datavalue,datavaluealt,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,:@computed_region_bxsw_vy29,:@computed_region_he4y_prf8,geolocation.latitude,geolocation.longitude,geolocation.human_address,datavaluefootnotesymbol,datavaluefootnote
2015,2015,US,United States,NVSS,Alcohol,Chronic liver disease mortality,Number,Number,40326,40326,,,Overall,Overall,59,ALC,ALC6_0,NMBR,OVERALL,OVR,,,,,,,
2015,2015,ND,North Dakota,NVSS,Alcohol,Chronic liver disease mortality,Number,Number,64,64,,,Race/Ethnicity,"White, non-Hispanic",38,ALC,ALC6_0,NMBR,RACE,WHT,3,568,47.47531977900047,-100.11842104899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,AR,Arkansas,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",Crude Rate,292.2,292.2,283.4,300.9,Gender,Male,05,CVD,CVD1_2,CRDRATE,GENDER,GENM,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2013,2013,NE,Nebraska,NVSS,Alcohol,Chronic liver disease mortality,,Number,72,72,,,Gender,Female,31,ALC,ALC6_0,NMBR,GENDER,GENF,19,2243,41.6410409880005,-99.36572062299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2014,2014,IL,Illinois,State Inpatient Data,Cardiovascular Disease,Hospitalization for stroke,,Number,,,,,Overall,Overall,17,CVD,CVD3_1,NMBR,OVERALL,OVR,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2011,2011,US,United States,NVSS,Asthma,Asthma mortality rate,"cases per 1,000,000",Crude Rate,10.7,10.7,10.4,11.1,Overall,Overall,59,AST,AST4_1,CRDRATE,OVERALL,OVR,,,,,,,
2014,2014,AR,Arkansas,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Crude Prevalence,6.0,6.0,4.5,7.9,Gender,Male,05,ALC,ALC5_1,CRDPREV,GENDER,GENM,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2010,2014,US,United States,Death Certificate,Cancer,"Cancer of the female breast, mortality",,Average Annual Number,41029,41029,,,Overall,Overall,59,CAN,CAN5_2,AVGANNNMBR,OVERALL,OVR,,,,,,,
2010,2014,SD,South Dakota,Death Certificate,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,Average Annual Number,164,164,,,Overall,Overall,46,CAN,CAN7_2,AVGANNNMBR,OVERALL,OVR,21,2732,44.353130053000484,-100.3735306369997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2010,2014,TN,Tennessee,Death Certificate,Cancer,"Melanoma, mortality",,Average Annual Number,68,68,,,Gender,Female,47,CAN,CAN9_2,AVGANNNMBR,GENDER,GENF,39,2159,35.68094058000048,-85.77449091399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GU,Guam,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,Age-adjusted Prevalence,23.1,23.1,17.3,30.1,Gender,Male,66,ART,ART1_2,AGEADJPREV,GENDER,GENM,,,13.444304,144.793731,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VA,Virginia,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Crude Prevalence,36.6,36.6,27.2,47.1,Gender,Male,51,AST,AST6_1,CRDPREV,GENDER,GENM,40,2758,37.54268067400045,-78.45789046299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PR,Puerto Rico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.9,4.9,4.2,5.5,Gender,Male,72,ALC,ALC3_0,AGEADJMEAN,GENDER,GENM,,3050,18.220833,-66.590149,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,ID,Idaho,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,%,Crude Prevalence,12.4,12.4,8.9,17.0,Race/Ethnicity,"White, non-Hispanic",16,AST,AST1_2,CRDPREV,RACE,WHT,5,1687,43.682630005000476,-114.3637300419997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,TN,Tennessee,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,25.7,25.7,16.0,38.6,Race/Ethnicity,Hispanic,47,ART,ART1_1,AGEADJPREV,RACE,HIS,39,2159,35.68094058000048,-85.77449091399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,WY,Wyoming,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.5,3.5,2.6,4.4,Gender,Female,56,ALC,ALC3_0,MEAN,GENDER,GENF,14,3084,43.23554134300048,-108.10983035299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KS,Kansas,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Crude Prevalence,28.5,28.5,22.3,35.7,Gender,Male,20,AST,AST5_1,CRDPREV,GENDER,GENM,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.6,11.6,10.7,12.4,Gender,Female,59,ALC,ALC2_2,CRDPREV,GENDER,GENF,,,,,,*,50 States + DC: US Median
2018,2018,PR,Puerto Rico,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,30.4,30.4,28.4,32.4,Gender,Female,72,ART,ART1_1,CRDPREV,GENDER,GENF,,3050,18.220833,-66.590149,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,CT,Connecticut,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,6.6,6.6,5.8,7.4,Overall,Overall,09,ALC,ALC5_1,AGEADJPREV,OVERALL,OVR,24,1043,41.56266102000046,-72.64984095199964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MN,Minnesota,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,Crude Prevalence,42.3,42.3,29.2,56.6,Race/Ethnicity,"Black, non-Hispanic",27,ART,ART1_3,CRDPREV,RACE,BLK,1,392,46.35564873600049,-94.79420050299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,RI,Rhode Island,BRFSS,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,Crude Prevalence,31.8,31.8,27.4,36.5,Gender,Male,44,ART,ART3_0,CRDPREV,GENDER,GENM,27,2658,41.70828019300046,-71.52247031399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,CO,Colorado,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,Age-adjusted Prevalence,25.3,25.3,21.1,30.0,Race/Ethnicity,Hispanic,08,ART,ART1_2,AGEADJPREV,RACE,HIS,9,1398,38.843840757000464,-106.13361092099967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MD,Maryland,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,Age-adjusted Prevalence,45.7,45.7,37.4,54.2,Race/Ethnicity,"White, non-Hispanic",24,ART,ART1_4,AGEADJPREV,RACE,WHT,45,1857,39.29058096400047,-76.60926011099963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NM,New Mexico,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,70.3,70.3,62.6,77.0,Overall,Overall,35,AST,AST5_2,AGEADJPREV,OVERALL,OVR,11,616,34.52088095200048,-106.24058098499967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,UT,Utah,BRFSS,Alcohol,Heavy drinking among women aged 18-44 years,%,Crude Prevalence,3.9,3.9,3.0,5.0,Overall,Overall,49,ALC,ALC5_2,CRDPREV,OVERALL,OVR,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IL,Illinois,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,Age-adjusted Prevalence,28.6,28.6,26.4,30.9,Overall,Overall,17,ART,ART1_2,AGEADJPREV,OVERALL,OVR,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NM,New Mexico,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.6,12.6,11.0,14.2,Gender,Female,35,AST,AST1_1,AGEADJPREV,GENDER,GENF,11,616,34.52088095200048,-106.24058098499967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MT,Montana,USDA National Farmers' Market Directory,"Nutrition, Physical Activity, and Weight Status","Number of farmers markets per 100,000 residents","per 100,000 residents",Number,6.7,6.7,,,Overall,Overall,30,NPAW,NPAW8_0,NMBR,OVERALL,OVR,2,2283,47.06652897200047,-109.42442064499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OH,Ohio,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.9,21.9,20.1,23.9,Gender,Male,39,ALC,ALC2_2,AGEADJPREV,GENDER,GENM,38,587,40.06021014100048,-82.40426005599966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AR,Arkansas,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,49.8,49.8,40.0,59.7,Gender,Female,05,AST,AST5_2,AGEADJPREV,GENDER,GENF,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KY,Kentucky,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,81.4,81.4,70.4,89.0,Overall,Overall,21,AST,AST6_2,AGEADJPREV,OVERALL,OVR,36,235,37.645970271000465,-84.77497104799966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AZ,Arizona,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,19.1,19.1,16.1,22.4,Race/Ethnicity,Hispanic,04,ART,ART1_1,AGEADJPREV,RACE,HIS,7,986,34.865970280000454,-111.76381127699972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MO,Missouri,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Crude Prevalence,68.2,68.2,53.3,80.1,Gender,Male,29,AST,AST5_2,CRDPREV,GENDER,GENM,18,532,38.635790776000476,-92.56630005299968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PA,Pennsylvania,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,20.6,20.6,14.9,27.8,Race/Ethnicity,Hispanic,42,ART,ART1_1,AGEADJPREV,RACE,HIS,48,2495,40.79373015200048,-77.86070029399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AL,Alabama,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,4.1,4.1,3.3,5.2,Gender,Female,01,ALC,ALC5_1,AGEADJPREV,GENDER,GENF,29,94,32.84057112200048,-86.63186076199969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,DE,Delaware,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,30.3,30.3,28.2,32.5,Gender,Female,10,ART,ART1_1,CRDPREV,GENDER,GENF,43,1046,39.008830667000495,-75.57774116799965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,7.5,7.5,7.2,7.8,Gender,Male,36,ALC,ALC4_0,AGEADJMEAN,GENDER,GENM,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MD,Maryland,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,20.4,20.4,19.2,21.6,Gender,Male,24,ART,ART1_1,AGEADJPREV,GENDER,GENM,45,1857,39.29058096400047,-76.60926011099963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,CT,Connecticut,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,6.2,6.2,5.2,7.3,Gender,Male,09,ALC,ALC5_1,AGEADJPREV,GENDER,GENM,24,1043,41.56266102000046,-72.64984095199964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,WY,Wyoming,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,5.1,5.1,4.4,5.9,Overall,Overall,56,ALC,ALC3_0,AGEADJMEAN,OVERALL,OVR,14,3084,43.23554134300048,-108.10983035299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AR,Arkansas,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,45.0,45.0,41.5,48.4,Gender,Female,05,ART,ART4_0,CRDPREV,GENDER,GENF,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IA,Iowa,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.4,3.4,3.0,3.8,Gender,Female,19,ALC,ALC3_0,MEAN,GENDER,GENF,16,281,42.46940091300047,-93.81649055599968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NV,Nevada,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,7.6,7.6,6.0,9.5,Race/Ethnicity,"White, non-Hispanic",32,ALC,ALC5_1,AGEADJPREV,RACE,WHT,10,481,39.493240390000494,-117.07184056399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,7.6,7.6,6.3,9.1,Gender,Male,28,AST,AST1_1,CRDPREV,GENDER,GENM,32,494,32.745510099000455,-89.53803082499968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VI,Virgin Islands,BRFSS,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,Crude Prevalence,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",78,ART,ART3_0,CRDPREV,RACE,MRC,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,TN,Tennessee,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Age-adjusted Prevalence,45.4,45.4,40.3,50.7,Race/Ethnicity,"White, non-Hispanic",47,ART,ART4_0,AGEADJPREV,RACE,WHT,39,2159,35.68094058000048,-85.77449091399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KS,Kansas,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,Crude Prevalence,51.4,51.4,48.3,54.5,Overall,Overall,20,ART,ART1_3,CRDPREV,OVERALL,OVR,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NC,North Carolina,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,27.1,27.1,23.7,30.9,Race/Ethnicity,"Black, non-Hispanic",37,ART,ART1_1,CRDPREV,RACE,BLK,37,2390,35.466220975000454,-79.15925046299964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AR,Arkansas,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Crude Prevalence,6.1,6.1,4.7,7.9,Gender,Male,05,ALC,ALC5_1,CRDPREV,GENDER,GENM,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,SD,South Dakota,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,30.7,30.7,25.5,36.5,Gender,Male,46,ART,ART4_0,CRDPREV,GENDER,GENM,21,2732,44.353130053000484,-100.3735306369997,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Mean,7.8,7.8,7.2,8.3,Race/Ethnicity,"White, non-Hispanic",42,ALC,ALC4_0,MEAN,RACE,WHT,48,2495,40.79373015200048,-77.86070029399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OR,Oregon,BRFSS,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,Age-adjusted Prevalence,28.4,28.4,23.2,34.1,Race/Ethnicity,"White, non-Hispanic",41,ART,ART3_0,AGEADJPREV,RACE,WHT,12,2452,44.56744942400047,-120.15503132599969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,LA,Louisiana,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,%,Crude Prevalence,9.9,9.9,7.1,13.6,Race/Ethnicity,"White, non-Hispanic",22,AST,AST1_2,CRDPREV,RACE,WHT,22,1697,31.31266064400046,-92.44568007099969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MT,Montana,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Mean,7.0,7.0,6.5,7.4,Overall,Overall,30,ALC,ALC4_0,MEAN,OVERALL,OVR,2,2283,47.06652897200047,-109.42442064499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PR,Puerto Rico,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Crude Prevalence,3.3,3.3,2.6,4.2,Gender,Female,72,ALC,ALC5_1,CRDPREV,GENDER,GENF,,3050,18.220833,-66.590149,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KS,Kansas,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,6.3,6.3,5.6,7.1,Race/Ethnicity,"White, non-Hispanic",20,ALC,ALC5_1,AGEADJPREV,RACE,WHT,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.0,3.0,2.7,3.3,Gender,Female,36,ALC,ALC3_0,MEAN,GENDER,GENF,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,55.0,55.0,45.1,64.5,Gender,Female,36,AST,AST5_2,AGEADJPREV,GENDER,GENF,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AR,Arkansas,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,34.5,34.5,23.2,47.9,Gender,Male,05,AST,AST5_1,AGEADJPREV,GENDER,GENM,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MI,Michigan,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,22.2,22.2,17.2,28.1,Race/Ethnicity,"Other, non-Hispanic",26,ART,ART1_1,CRDPREV,RACE,OTH,50,436,44.6613195430005,-84.71439026999968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OR,Oregon,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,50.4,50.4,38.0,62.8,Overall,Overall,41,AST,AST5_2,AGEADJPREV,OVERALL,OVR,12,2452,44.56744942400047,-120.15503132599969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,ND,North Dakota,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Crude Prevalence,7.5,7.5,6.5,8.7,Overall,Overall,38,ALC,ALC5_1,CRDPREV,OVERALL,OVR,3,568,47.47531977900047,-100.11842104899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,CT,Connecticut,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,30.3,30.3,28.8,31.9,Gender,Female,09,ART,ART1_1,CRDPREV,GENDER,GENF,24,1043,41.56266102000046,-72.64984095199964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MO,Missouri,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,5.8,5.8,4.7,7.2,Gender,Male,29,AST,AST1_1,CRDPREV,GENDER,GENM,18,532,38.635790776000476,-92.56630005299968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VI,Virgin Islands,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Crude Prevalence,,,,,Gender,Male,78,AST,AST5_1,CRDPREV,GENDER,GENM,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,LA,Louisiana,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,37.5,37.5,30.3,45.3,Overall,Overall,22,AST,AST6_1,AGEADJPREV,OVERALL,OVR,22,1697,31.31266064400046,-92.44568007099969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,UT,Utah,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,11.2,11.2,10.1,12.4,Gender,Female,49,AST,AST1_1,CRDPREV,GENDER,GENF,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OH,Ohio,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,17.9,17.9,11.5,26.7,Race/Ethnicity,Hispanic,39,AST,AST1_1,CRDPREV,RACE,HIS,38,587,40.06021014100048,-82.40426005599966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,ME,Maine,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Mean,7.9,7.9,7.4,8.3,Gender,Male,23,ALC,ALC4_0,MEAN,GENDER,GENM,49,1725,45.254228894000505,-68.98503133599962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,WI,Wisconsin,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,29.0,29.0,26.8,31.3,Gender,Female,55,ART,ART1_1,CRDPREV,GENDER,GENF,41,3078,44.39319117400049,-89.81637074199966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
