,year,locationabbr,locationdesc,datasource,category,indicator,response,data_value_unit,data_value_type,data_value,data_value_alt,low_confidence_limit,high_confidence_limit,number,weightednumber,stratificationcategory1,stratification1,categoryid,indicatorid,locationid,responseid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategory2,stratification2,stratificationcategoryid2,stratificationid2,geolocation,:@computed_region_hjsp_umg2,:@computed_region_skr5_azej,data_value_footnote_symbol,data_value_footnote
13,2016,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,10.6,10.6,8.0,14.0,75.0,5177.0,Disability Type,Mobility Disability,DISEST,SEXIND,66,SEX01,AGEADJPREV,DISTYPE,MOBDIS,,,,,,,,,
14,2016,HHS3,HHS Region 3,BRFSS,Demographics,Education level among adults 18 years of age or older,College Graduate,%,Age-adjusted Prevalence,12.7,12.7,10.2,15.8,475.0,120095.0,Disability Type,Vision Disability,DEMOG,EDUCATE,82,EDUCATE03,AGEADJPREV,DISTYPE,VISDIS,,,,,,,,,
15,2016,GU,Guam,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,32.6,32.6,20.9,47.0,39.0,1890.0,Disability Type,Hearing Disability,DEMOG,EDUCATE,66,EDUCATE02,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
16,2016,HHS9,HHS Region 9,BRFSS,Chronic Conditions,Current asthma among adults 18 years of age or older,No,%,Age-adjusted Prevalence,85.0,85.0,83.4,86.5,8176.0,7389014.0,Disability Status,Any Disability,CHRCOND,ASTHMA,88,YESNO02,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
17,2016,PR,Puerto Rico,BRFSS,Chronic Conditions,Current asthma among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,5.8,5.8,4.1,8.2,56.0,46527.0,Disability Status,No Disability,CHRCOND,ASTHMA,72,YESNO01,AGEADJPREV,DISSTAT,NODIS,Sex,Male,SEX,GENM,,,,,
18,2016,HHS3,HHS Region 3,BRFSS,Chronic Conditions,Current asthma among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,10.1,10.1,9.3,11.0,1700.0,891544.0,Disability Status,No Disability,CHRCOND,ASTHMA,82,YESNO01,AGEADJPREV,DISSTAT,NODIS,Sex,Female,SEX,GENF,,,,,
19,2016,HHS9,HHS Region 9,BRFSS,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Prevalence,95.6,95.6,94.4,96.5,6869.0,3838259.0,Disability Status,No Disability,CHRCOND,STROKE,88,YESNO02,PREV,DISSTAT,NODIS,Age Group,65+,AGEGRP,AGE03,,,,,
20,2017,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,5.3,5.3,3.0,9.1,15.0,532.0,Disability Type,Self-care Disability,DISEST,AGEIND,66,AGE03,PREV,DISTYPE,SELFDIS,,,,,,,,,
21,2016,HHS3,HHS Region 3,BRFSS,General Health Conditions,Ever had heart disease among adults 18 years of age or older,No,%,Age-adjusted Prevalence,85.2,85.2,81.6,88.3,2840.0,1022137.0,Disability Type,Hearing Disability,GENHLTH,HEART,82,YESNO02,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
22,2016,GU,Guam,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,No,%,Age-adjusted Prevalence,81.2,81.2,68.6,89.5,81.0,5910.0,Disability Type,Vision Disability,CHRCOND,DIAB,66,YESNO02,AGEADJPREV,DISTYPE,VISDIS,,,,,,,,,
23,2016,HHS7,HHS Region 7,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,15.3,15.3,13.5,17.4,698.0,177177.0,Disability Type,Cognitive Disability,CHRCOND,DIAB,86,YESNO01,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
24,2016,HHS5,HHS Region 5,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,No,%,Prevalence,98.0,98.0,97.6,98.3,13346.0,14386054.0,Disability Status,No Disability,CHRCOND,DIAB,84,YESNO02,PREV,DISSTAT,NODIS,Age Group,18-44,AGEGRP,AGE01,,,,,
25,2017,HHS6,HHS Region 6,BRFSS,Demographics,Marital status among adults 18 years of age or older,Widowed,%,Age-adjusted Prevalence,4.7,4.7,4.2,5.4,2317.0,894228.0,Disability Status,No Disability,DEMOG,MARRIED,85,MARRIED03,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
26,2017,HHS10,HHS Region 10,BRFSS,Demographics,Marital status among adults 18 years of age or older,Never Married,%,Age-adjusted Prevalence,32.9,32.9,30.5,35.3,524.0,350131.0,Disability Type,Cognitive Disability,DEMOG,MARRIED,89,MARRIED04,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
27,2017,HHS8,HHS Region 8,BRFSS,Demographics,Education level among adults 18 years of age or older,College Graduate,%,Age-adjusted Prevalence,16.0,16.0,15.0,17.1,2877.0,338676.0,Disability Status,Any Disability,DEMOG,EDUCATE,87,EDUCATE03,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
28,2017,GU,Guam,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,61.4,61.4,36.7,81.3,31.0,1603.0,Disability Type,Self-care Disability,DEMOG,EDUCATE,66,EDUCATE02,AGEADJPREV,DISTYPE,SELFDIS,,,,,,,,,
29,2017,HHS9,HHS Region 9,BRFSS,Demographics,Employment status among adults 18 years of age or older,Other,%,Age-adjusted Prevalence,28.3,28.3,24.5,32.5,2854.0,2005789.0,Disability Type,Mobility Disability,DEMOG,JOB,88,JOB04,AGEADJPREV,DISTYPE,MOBDIS,,,,,,,,,
30,2017,GU,Guam,BRFSS,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,29.4,29.4,22.8,37.1,75.0,7009.0,Disability Status,Any Disability,BARRIER,INSURE,66,YESNO02,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
31,2017,GU,Guam,BRFSS,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,11.4,11.4,9.2,14.1,120.0,7552.0,Disability Status,No Disability,CHRCOND,ARTHRITIS,66,YESNO01,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
32,2017,HHS5,HHS Region 5,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,8.0,8.0,7.5,8.5,2038.0,1133284.0,Disability Status,No Disability,CHRCOND,DIAB,84,YESNO01,AGEADJPREV,DISSTAT,NODIS,Sex,Male,SEX,GENM,,,,,
33,2017,HHS6,HHS Region 6,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,No,%,Age-adjusted Prevalence,90.9,90.9,89.5,92.1,8237.0,9904418.0,Disability Status,No Disability,CHRCOND,DIAB,85,YESNO02,AGEADJPREV,DISSTAT,NODIS,Sex,Male,SEX,GENM,,,,,
34,2017,HHS10,HHS Region 10,BRFSS,Chronic Conditions,Ever had a stroke among adults 18 years of age or older,No,%,Prevalence,95.5,95.5,94.6,96.3,5196.0,1240590.0,Disability Status,No Disability,CHRCOND,STROKE,89,YESNO02,PREV,DISSTAT,NODIS,Age Group,65+,AGEGRP,AGE03,,,,,
35,2017,HHS4,HHS Region 4,BRFSS,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,Yes,%,Prevalence,11.0,11.0,10.2,11.8,1871.0,1182335.0,Disability Status,No Disability,MHLTH,DEPRESS,83,YESNO01,PREV,DISSTAT,NODIS,Age Group,45-64,AGEGRP,AGE02,,,,,
36,2017,HHS7,HHS Region 7,BRFSS,Mental & Emotional Health,Ever had depression among adults 18 years of age or older,Yes,%,Prevalence,10.0,10.0,9.1,11.0,1019.0,123655.0,Disability Status,No Disability,MHLTH,DEPRESS,86,YESNO01,PREV,DISSTAT,NODIS,Age Group,65+,AGEGRP,AGE03,,,,,
37,2018,GU,Guam,BRFSS,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,41.3,41.3,26.0,58.5,42.0,2431.0,Disability Type,Vision Disability,DEMOG,INCOMEN,66,INCOME01,AGEADJPREV,DISTYPE,VISDIS,,,,,,,,,
38,2018,PR,Puerto Rico,BRFSS,Demographics,Income level among adults 18 years of age or older,"<$15,000",%,Age-adjusted Prevalence,65.2,65.2,52.8,75.9,151.0,80557.0,Disability Type,Self-care Disability,DEMOG,INCOMEN,72,INCOME01,AGEADJPREV,DISTYPE,SELFDIS,,,,,,,,,
39,2018,GU,Guam,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,52.9,52.9,44.8,61.0,269.0,13652.0,Disability Status,Any Disability,DEMOG,EDUCATE,66,EDUCATE02,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
40,2018,HHS10,HHS Region 10,BRFSS,Demographics,Marital status among adults 18 years of age or older,Never Married,%,Age-adjusted Prevalence,25.2,25.2,20.0,31.3,154.0,76098.0,Disability Type,Hearing Disability,DEMOG,MARRIED,89,MARRIED04,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
41,2018,HHS1,HHS Region 1,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Underweight,%,Age-adjusted Prevalence,1.6,1.6,1.4,1.9,417.0,123754.0,Disability Status,No Disability,HLTHRB,BMI,80,BMI01,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
42,2018,HHS9,HHS Region 9,BRFSS,Health Risks & Behaviors,Attempted to quit smoking in the past 12 months among adults 18 years of age or older who are current every day smokers,Yes,%,Age-adjusted Prevalence,59.1,59.1,48.0,69.3,109.0,175664.0,Disability Status,Any Disability,HLTHRB,QUITSMK,88,YESNO01,AGEADJPREV,DISSTAT,DISABL,Race/Ethnicity,Hispanic,RACE,HIS,,,,,
43,2018,GU,Guam,BRFSS,Health Risks & Behaviors,Ever been tested for HIV among adults 18 to 64 years of age,Yes,%,Age-adjusted Prevalence,31.4,31.4,20.7,44.7,39.0,2631.0,Disability Type,Cognitive Disability,HLTHRB,TESTEVER,66,YESNO01,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
44,2018,HHS3,HHS Region 3,BRFSS,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,66.0,66.0,60.9,70.7,862.0,322005.0,Disability Type,Vision Disability,PREVENT,UTDCRC,82,YESNO01,PREV,DISTYPE,VISDIS,,,,,,,,,
45,2018,GU,Guam,BRFSS,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,No,%,Age-adjusted Prevalence,30.8,30.8,18.2,47.1,17.0,1598.0,Disability Type,Hearing Disability,BARRIER,INSURE,66,YESNO02,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
46,2018,HHS7,HHS Region 7,BRFSS,General Health Conditions,Ever had heart disease among adults 18 years of age or older,Yes,%,Prevalence,0.7,0.7,0.5,1.0,66.0,27917.0,Disability Status,No Disability,GENHLTH,HEART,86,YESNO01,PREV,DISSTAT,NODIS,Age Group,18-44,AGEGRP,AGE01,,,,,
47,2018,HHS6,HHS Region 6,BRFSS,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,38.3,38.3,36.0,40.7,6479.0,4101500.0,Disability Status,Any Disability,CHRCOND,ARTHRITIS,85,YESNO01,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
48,2018,HHS10,HHS Region 10,BRFSS,Chronic Conditions,Current asthma among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,7.5,7.5,7.0,8.1,1317.0,584849.0,Disability Status,No Disability,CHRCOND,ASTHMA,89,YESNO01,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
49,2018,GU,Guam,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,No,%,Age-adjusted Prevalence,80.5,80.5,73.3,86.2,133.0,7732.0,Disability Type,Mobility Disability,CHRCOND,DIAB,66,YESNO02,AGEADJPREV,DISTYPE,MOBDIS,,,,,,,,,
50,2018,HHS3,HHS Region 3,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,8.0,8.0,7.4,8.6,1709.0,690434.0,Disability Status,No Disability,CHRCOND,DIAB,82,YESNO01,AGEADJPREV,DISSTAT,NODIS,Sex,Male,SEX,GENM,,,,,
51,2018,GU,Guam,BRFSS,Chronic Conditions,Ever had diabetes among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,10.7,10.7,7.6,14.8,71.0,3136.0,Disability Status,No Disability,CHRCOND,DIAB,66,YESNO01,AGEADJPREV,DISSTAT,NODIS,Sex,Female,SEX,GENF,,,,,
52,2016,HHS6,HHS Region 6,BRFSS,Demographics,Education level among adults 18 years of age or older,College Graduate,%,Age-adjusted Prevalence,10.7,10.7,9.2,12.4,688.0,365347.0,Disability Type,Cognitive Disability,DEMOG,EDUCATE,85,EDUCATE03,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
53,2016,HHS2,HHS Region 2,BRFSS,Demographics,Employment status among adults 18 years of age or older,Unable to Work,%,Age-adjusted Prevalence,22.0,22.0,19.0,25.3,699.0,329063.0,Disability Type,Vision Disability,DEMOG,JOB,81,JOB03,AGEADJPREV,DISTYPE,VISDIS,,,,,,,,,
54,2016,HHS4,HHS Region 4,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,60.8,60.8,60.1,61.5,30499.0,20657897.0,Disability Status,No Disability,DEMOG,EDUCATE,83,EDUCATE02,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
55,2016,HHS2,HHS Region 2,BRFSS,Demographics,Marital status among adults 18 years of age or older,Widowed,%,Age-adjusted Prevalence,9.3,9.3,8.2,10.5,907.0,285733.0,Disability Type,Independent Living Disability,DEMOG,MARRIED,81,MARRIED03,AGEADJPREV,DISTYPE,INDDIS,,,,,,,,,
56,2016,HHS7,HHS Region 7,BRFSS,Demographics,Marital status among adults 18 years of age or older,Married / Unmarried Couple,%,Age-adjusted Prevalence,46.1,46.1,39.5,52.7,654.0,184990.0,Disability Type,Vision Disability,DEMOG,MARRIED,86,MARRIED01,AGEADJPREV,DISTYPE,VISDIS,,,,,,,,,
57,2016,HHS6,HHS Region 6,BRFSS,Demographics,Employment status among adults 18 years of age or older,Unable to Work,%,Age-adjusted Prevalence,22.7,22.7,20.7,24.7,2791.0,1933997.0,Disability Status,Any Disability,DEMOG,JOB,85,JOB03,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
58,2016,HHS8,HHS Region 8,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,67.5,67.5,64.2,70.6,4209.0,529726.0,Disability Type,Mobility Disability,DEMOG,EDUCATE,87,EDUCATE02,AGEADJPREV,DISTYPE,MOBDIS,,,,,,,,,
59,2016,HHS2,HHS Region 2,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,10.9,10.9,10.1,11.8,2127.0,903284.0,Disability Type,Cognitive Disability,DISEST,AGEIND,81,AGE02,PREV,DISTYPE,COGDIS,,,,,,,,,
60,2016,HHS10,HHS Region 10,BRFSS,Demographics,Employment status among adults 18 years of age or older,Out of Work,%,Age-adjusted Prevalence,4.5,4.5,4.1,5.0,728.0,349699.0,Disability Status,No Disability,DEMOG,JOB,89,JOB02,AGEADJPREV,DISSTAT,NODIS,,,,,,,,,
61,2016,US,"United States, DC & Territories",BRFSS,Demographics,Employment status among adults 18 years of age or older,Employed,%,Age-adjusted Prevalence,28.4,28.4,27.3,29.5,13297.0,6738469.0,Disability Type,Mobility Disability,DEMOG,JOB,59,JOB01,AGEADJPREV,DISTYPE,MOBDIS,,,,,,,,,
62,2016,PR,Puerto Rico,BRFSS,Demographics,Marital status among adults 18 years of age or older,Divorced / Separated,%,Age-adjusted Prevalence,19.0,19.0,15.5,23.0,187.0,84366.0,Disability Type,Cognitive Disability,DEMOG,MARRIED,72,MARRIED02,AGEADJPREV,DISTYPE,COGDIS,,,,,,,,,
63,2016,HHS10,HHS Region 10,BRFSS,Demographics,Employment status among adults 18 years of age or older,Unable to Work,%,Age-adjusted Prevalence,22.3,22.3,16.7,29.3,220.0,76171.0,Disability Type,Vision Disability,DEMOG,JOB,89,JOB03,AGEADJPREV,DISTYPE,VISDIS,,,,,,,,,
64,2016,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,15.0,15.0,13.7,16.4,882.0,425376.0,Overall,Overall,DISEST,STATTYPE,72,Q6COG,AGEADJPREV,CAT1,BO1,,,,,,,,,
65,2016,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,37.5,37.5,36.5,38.6,6191.0,572909.0,Disability Status,Any Disability,DISEST,AGEIND,87,AGE03,PREV,DISSTAT,DISABL,,,,,,,,,
66,2016,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,4.3,4.3,3.7,5.0,432.0,206424.0,Disability Type,Mobility Disability,DISEST,AGEIND,86,AGE01,PREV,DISTYPE,MOBDIS,,,,,,,,,
67,2016,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,4.7,4.7,4.3,5.2,926.0,380394.0,Disability Type,Self-care Disability,DISEST,AGEIND,84,AGE03,PREV,DISTYPE,SELFDIS,,,,,,,,,
68,2016,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,19.4,19.4,18.6,20.2,4651.0,4209462.0,Disability Status,Any Disability,DISEST,AGEIND,83,AGE01,PREV,DISSTAT,DISABL,,,,,,,,,
69,2016,VI,U.S. Virgin Islands,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,39.4,39.4,28.4,51.6,126.0,6621.0,Disability Status,Any Disability,DEMOG,EDUCATE,78,EDUCATE02,AGEADJPREV,DISSTAT,DISABL,,,,,,,,,
70,2016,HHS9,HHS Region 9,BRFSS,Demographics,Employment status among adults 18 years of age or older,Unable to Work,%,Age-adjusted Prevalence,11.8,11.8,9.3,14.9,310.0,222977.0,Disability Type,Hearing Disability,DEMOG,JOB,88,JOB03,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
71,2016,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,83.7,83.7,82.4,84.9,9326.0,3987205.0,Disability Status,No Disability,DISEST,AGEIND,86,AGE01,PREV,DISSTAT,NODIS,,,,,,,,,
72,2016,MT,Montana,BRFSS,Demographics,Employment status among adults 18 years of age or older,Other,%,Age-adjusted Prevalence,26.8,26.8,25.0,28.7,1304.0,154290.0,Disability Status,No Disability,DEMOG,JOB,30,JOB04,AGEADJPREV,DISSTAT,NODIS,,,,,"{'latitude': '47.06652897200047', 'longitude': '-109.42442064499971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,2283.0,,
73,2016,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,6.7,6.7,5.3,8.3,141.0,5857.0,Disability Type,Independent Living Disability,DISEST,AGEIND,56,AGE03,PREV,DISTYPE,INDDIS,,,,,"{'latitude': '43.23554134300048', 'longitude': '-108.10983035299967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14.0,3084.0,,
74,2016,HHS1,HHS Region 1,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,59.6,59.6,52.3,66.4,2069.0,398367.0,Disability Type,Hearing Disability,DEMOG,EDUCATE,80,EDUCATE02,AGEADJPREV,DISTYPE,HEARDIS,,,,,,,,,
75,2016,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,15.4,15.4,14.5,16.4,5111.0,1469668.0,Disability Type,Mobility Disability,DISEST,SEXIND,12,SEX02,AGEADJPREV,DISTYPE,MOBDIS,,,,,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30.0,1112.0,,
76,2016,AK,Alaska,BRFSS,Demographics,Education level among adults 18 years of age or older,High School Graduate,%,Age-adjusted Prevalence,74.0,74.0,64.6,81.6,147.0,30420.0,Disability Type,Cognitive Disability,DEMOG,EDUCATE,2,EDUCATE02,AGEADJPREV,DISTYPE,COGDIS,,,,,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51.0,1673.0,,
77,2016,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,5.6,5.6,4.4,7.1,103.0,145254.0,Disability Type,Hearing Disability,DISEST,AGEIND,13,AGE02,PREV,DISTYPE,HEARDIS,,,,,"{'latitude': '32.83968109300048', 'longitude': '-83.62758034599966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31.0,1149.0,,
78,2016,VA,Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,74.5,74.5,72.6,76.3,2508.0,1618074.0,Disability Status,No Disability,DISEST,AGEIND,51,AGE02,PREV,DISSTAT,NODIS,,,,,"{'latitude': '37.54268067400045', 'longitude': '-78.45789046299967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40.0,2758.0,,
79,2016,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.5,75.5,74.2,76.8,4497.0,5670519.0,Overall,Overall,DISEST,STATTYPE,37,Q6DIS2,AGEADJPREV,CAT1,BO1,,,,,"{'latitude': '35.466220975000454', 'longitude': '-79.15925046299964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37.0,2390.0,,
80,2016,VT,Vermont,BRFSS,Demographics,Marital status among adults 18 years of age or older,Divorced / Separated,%,Age-adjusted Prevalence,23.1,23.1,15.1,33.7,79.0,4285.0,Disability Type,Vision Disability,DEMOG,MARRIED,50,MARRIED02,AGEADJPREV,DISTYPE,VISDIS,,,,,"{'latitude': '43.62538123900049', 'longitude': '-72.51764079099962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28.0,3218.0,,
