,jurisdiction,week_ending_date,state_abbreviation,mmwryear,mmwrweek,race_ethnicity,time_period,outcome,number_of_deaths,average_number_of_deaths,type,suppress,difference_from_2015_2019,percent_difference_from_2015,note
107,Alabama,2020-05-02T00:00:00.000,AL,2020,18,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
108,Alabama,2015-05-16T00:00:00.000,AL,2015,19,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
109,Alabama,2016-05-14T00:00:00.000,AL,2016,19,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
110,Alabama,2017-05-13T00:00:00.000,AL,2017,19,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
111,Alabama,2018-05-12T00:00:00.000,AL,2018,19,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
112,Alabama,2019-05-11T00:00:00.000,AL,2019,19,Hispanic,2015-2019,All Cause,12.0,7.0,Predicted (weighted),,,,
113,Alabama,2020-05-09T00:00:00.000,AL,2020,19,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,3.0,42.9,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
114,Alabama,2015-05-23T00:00:00.000,AL,2015,20,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
115,Alabama,2016-05-21T00:00:00.000,AL,2016,20,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
116,Alabama,2017-05-20T00:00:00.000,AL,2017,20,Hispanic,2015-2019,All Cause,11.0,6.0,Predicted (weighted),,,,
117,Alabama,2018-05-19T00:00:00.000,AL,2018,20,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
118,Alabama,2019-05-18T00:00:00.000,AL,2019,20,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
119,Alabama,2020-05-16T00:00:00.000,AL,2020,20,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,6.0,100.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
120,Alabama,2015-05-30T00:00:00.000,AL,2015,21,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
121,Alabama,2016-05-28T00:00:00.000,AL,2016,21,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
122,Alabama,2017-05-27T00:00:00.000,AL,2017,21,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
123,Alabama,2018-05-26T00:00:00.000,AL,2018,21,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
124,Alabama,2019-05-25T00:00:00.000,AL,2019,21,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
125,Alabama,2020-05-23T00:00:00.000,AL,2020,21,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,4.0,66.7,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
126,Alabama,2015-06-06T00:00:00.000,AL,2015,22,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
127,Alabama,2016-06-04T00:00:00.000,AL,2016,22,Hispanic,2015-2019,All Cause,12.0,8.0,Predicted (weighted),,,,
128,Alabama,2017-06-03T00:00:00.000,AL,2017,22,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
129,Alabama,2018-06-02T00:00:00.000,AL,2018,22,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
130,Alabama,2019-06-01T00:00:00.000,AL,2019,22,Hispanic,2015-2019,All Cause,11.0,8.0,Predicted (weighted),,,,
131,Alabama,2020-05-30T00:00:00.000,AL,2020,22,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,2.0,25.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
132,Alabama,2015-06-13T00:00:00.000,AL,2015,23,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
133,Alabama,2016-06-11T00:00:00.000,AL,2016,23,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
134,Alabama,2017-06-10T00:00:00.000,AL,2017,23,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
135,Alabama,2018-06-09T00:00:00.000,AL,2018,23,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
136,Alabama,2019-06-08T00:00:00.000,AL,2019,23,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
137,Alabama,2020-06-06T00:00:00.000,AL,2020,23,Hispanic,2020,All Cause,10.0,10.0,Predicted (weighted),,6.0,150.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
138,Alabama,2015-06-20T00:00:00.000,AL,2015,24,Hispanic,2015-2019,All Cause,10.0,7.0,Predicted (weighted),,,,
139,Alabama,2016-06-18T00:00:00.000,AL,2016,24,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
140,Alabama,2017-06-17T00:00:00.000,AL,2017,24,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
141,Alabama,2018-06-16T00:00:00.000,AL,2018,24,Hispanic,2015-2019,All Cause,11.0,7.0,Predicted (weighted),,,,
142,Alabama,2019-06-15T00:00:00.000,AL,2019,24,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
143,Alabama,2020-06-13T00:00:00.000,AL,2020,24,Hispanic,2020,All Cause,13.0,13.0,Predicted (weighted),,6.0,85.7,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
144,Alabama,2015-06-27T00:00:00.000,AL,2015,25,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
145,Alabama,2016-06-25T00:00:00.000,AL,2016,25,Hispanic,2015-2019,All Cause,10.0,9.0,Predicted (weighted),,,,
146,Alabama,2017-06-24T00:00:00.000,AL,2017,25,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
147,Alabama,2018-06-23T00:00:00.000,AL,2018,25,Hispanic,2015-2019,All Cause,11.0,9.0,Predicted (weighted),,,,
148,Alabama,2019-06-22T00:00:00.000,AL,2019,25,Hispanic,2015-2019,All Cause,11.0,9.0,Predicted (weighted),,,,
149,Alabama,2020-06-20T00:00:00.000,AL,2020,25,Hispanic,2020,All Cause,11.0,11.0,Predicted (weighted),,2.0,22.2,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
150,Alabama,2015-07-04T00:00:00.000,AL,2015,26,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
151,Alabama,2016-07-02T00:00:00.000,AL,2016,26,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
152,Alabama,2017-07-01T00:00:00.000,AL,2017,26,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
153,Alabama,2018-06-30T00:00:00.000,AL,2018,26,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
154,Alabama,2019-06-29T00:00:00.000,AL,2019,26,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
155,Alabama,2020-06-27T00:00:00.000,AL,2020,26,Hispanic,2020,All Cause,17.0,17.0,Predicted (weighted),,12.0,240.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
156,Alabama,2015-07-11T00:00:00.000,AL,2015,27,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
157,Alabama,2016-07-09T00:00:00.000,AL,2016,27,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
158,Alabama,2017-07-08T00:00:00.000,AL,2017,27,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
159,Alabama,2018-07-07T00:00:00.000,AL,2018,27,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
160,Alabama,2019-07-06T00:00:00.000,AL,2019,27,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
161,Alabama,2020-07-04T00:00:00.000,AL,2020,27,Hispanic,2020,All Cause,14.0,14.0,Predicted (weighted),,7.0,100.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
162,Alabama,2015-07-18T00:00:00.000,AL,2015,28,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
163,Alabama,2016-07-16T00:00:00.000,AL,2016,28,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
164,Alabama,2017-07-15T00:00:00.000,AL,2017,28,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
165,Alabama,2018-07-14T00:00:00.000,AL,2018,28,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
166,Alabama,2019-07-13T00:00:00.000,AL,2019,28,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
167,Alabama,2020-07-11T00:00:00.000,AL,2020,28,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,7.0,140.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
168,Alabama,2015-07-25T00:00:00.000,AL,2015,29,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
169,Alabama,2016-07-23T00:00:00.000,AL,2016,29,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
170,Alabama,2017-07-22T00:00:00.000,AL,2017,29,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
171,Alabama,2018-07-21T00:00:00.000,AL,2018,29,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
172,Alabama,2019-07-20T00:00:00.000,AL,2019,29,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
