,year,stateabbr,statedesc,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,latitude,longitude,locationid,categoryid,measureid,datavaluetypeid,short_question_text
14,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,83.8,81.6,85.9,24541,34.22274803,-82.45881778,45001,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
15,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84.8,82.7,86.8,24541,34.22274803,-82.45881778,45001,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening
16,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,9.2,8.4,10.0,24541,34.22274803,-82.45881778,45001,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
17,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.9,6.4,7.5,24541,34.22274803,-82.45881778,45001,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
18,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.5,78.9,80.3,24541,34.22274803,-82.45881778,45001,PREVENT,CHECKUP,CrdPrv,Annual Checkup
19,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.6,75.7,77.4,24541,34.22274803,-82.45881778,45001,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
20,2017,SC,South Carolina,Abbeville,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,81.9,80.4,83.1,24541,34.22274803,-82.45881778,45001,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
21,2017,SC,South Carolina,Abbeville,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,78.8,77.2,80.4,24541,34.22274803,-82.45881778,45001,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening
22,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,67.4,65.1,69.7,24541,34.22274803,-82.45881778,45001,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
23,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,65.1,62.6,67.5,24541,34.22274803,-82.45881778,45001,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening
24,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,10.0,8.7,11.3,24541,34.22274803,-82.45881778,45001,HLTHOUT,COPD,CrdPrv,COPD
25,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,8.3,7.2,9.3,24541,34.22274803,-82.45881778,45001,HLTHOUT,COPD,AgeAdjPrv,COPD
26,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,35.7,28.7,43.4,24541,34.22274803,-82.45881778,45001,PREVENT,COREM,CrdPrv,Core preventive services for older men
27,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,27.2,22.4,32.3,24541,34.22274803,-82.45881778,45001,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men
28,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,35.6,29.4,42.5,24541,34.22274803,-82.45881778,45001,PREVENT,COREW,CrdPrv,Core preventive services for older women
29,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,26.5,22.2,31.1,24541,34.22274803,-82.45881778,45001,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women
30,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,20.8,18.4,23.1,24541,34.22274803,-82.45881778,45001,UNHBEH,CSMOKING,CrdPrv,Current Smoking
31,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,22.6,19.8,25.3,24541,34.22274803,-82.45881778,45001,UNHBEH,CSMOKING,AgeAdjPrv,Current Smoking
32,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,56.1,52.8,59.9,24541,34.22274803,-82.45881778,45001,PREVENT,DENTAL,CrdPrv,Dental Visit
33,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,55.3,51.8,59.0,24541,34.22274803,-82.45881778,45001,PREVENT,DENTAL,AgeAdjPrv,Dental Visit
34,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,16.0,14.9,16.9,24541,34.22274803,-82.45881778,45001,HLTHOUT,DIABETES,CrdPrv,Diabetes
35,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,12.7,11.9,13.4,24541,34.22274803,-82.45881778,45001,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
36,2017,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,41.2,40.3,42.1,24541,34.22274803,-82.45881778,45001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
37,2017,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,33.0,32.3,33.7,24541,34.22274803,-82.45881778,45001,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
38,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.0,3.8,4.3,24541,34.22274803,-82.45881778,45001,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
39,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.2,3.0,3.4,24541,34.22274803,-82.45881778,45001,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease
40,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,30.1,27.7,32.6,24541,34.22274803,-82.45881778,45001,UNHBEH,LPA,CrdPrv,Physical Inactivity
41,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,28.5,26.0,31.0,24541,34.22274803,-82.45881778,45001,UNHBEH,LPA,AgeAdjPrv,Physical Inactivity
42,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.0,68.3,75.6,24541,34.22274803,-82.45881778,45001,PREVENT,MAMMOUSE,CrdPrv,Mammography
43,2018,SC,South Carolina,Abbeville,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,72.0,68.2,75.7,24541,34.22274803,-82.45881778,45001,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography
44,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.8,14.5,17.0,24541,34.22274803,-82.45881778,45001,HLTHOUT,MHLTH,CrdPrv,Mental Health
45,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,16.9,15.5,18.3,24541,34.22274803,-82.45881778,45001,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health
46,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Obesity among adults aged >=18 years,%,Crude prevalence,35.8,34.4,37.1,24541,34.22274803,-82.45881778,45001,UNHBEH,OBESITY,CrdPrv,Obesity
47,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.0,34.7,37.4,24541,34.22274803,-82.45881778,45001,UNHBEH,OBESITY,AgeAdjPrv,Obesity
48,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16.4,14.9,17.9,24541,34.22274803,-82.45881778,45001,HLTHOUT,PHLTH,CrdPrv,Physical Health
49,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.9,13.5,16.2,24541,34.22274803,-82.45881778,45001,HLTHOUT,PHLTH,AgeAdjPrv,Physical Health
50,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,41.0,39.7,42.3,24541,34.22274803,-82.45881778,45001,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
51,2018,SC,South Carolina,Abbeville,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,42.7,41.3,44.0,24541,34.22274803,-82.45881778,45001,UNHBEH,SLEEP,AgeAdjPrv,Sleep <7 hours
52,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.1,4.6,5.5,24541,34.22274803,-82.45881778,45001,HLTHOUT,STROKE,CrdPrv,Stroke
53,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.9,3.6,4.3,24541,34.22274803,-82.45881778,45001,HLTHOUT,STROKE,AgeAdjPrv,Stroke
54,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,17.9,13.1,23.2,24541,34.22274803,-82.45881778,45001,HLTHOUT,TEETHLOST,CrdPrv,Teeth Loss
55,2018,SC,South Carolina,Abbeville,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,18.2,13.4,23.6,24541,34.22274803,-82.45881778,45001,HLTHOUT,TEETHLOST,AgeAdjPrv,Teeth Loss
56,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,15.3,13.0,17.7,62190,30.29013298,-92.41204254,22001,PREVENT,ACCESS2,CrdPrv,Health Insurance
57,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,15.8,13.3,18.4,62190,30.29013298,-92.41204254,22001,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
58,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,32.3,30.9,33.6,62190,30.29013298,-92.41204254,22001,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
59,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,29.3,28.0,30.5,62190,30.29013298,-92.41204254,22001,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
60,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.9,16.1,17.7,62190,30.29013298,-92.41204254,22001,UNHBEH,BINGE,CrdPrv,Binge Drinking
61,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.0,17.1,18.9,62190,30.29013298,-92.41204254,22001,UNHBEH,BINGE,AgeAdjPrv,Binge Drinking
62,2017,LA,Louisiana,Acadia,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,40.5,39.2,41.7,62190,30.29013298,-92.41204254,22001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
63,2017,LA,Louisiana,Acadia,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,37.5,36.3,38.8,62190,30.29013298,-92.41204254,22001,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
64,2017,LA,Louisiana,Acadia,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,77.8,76.9,78.8,62190,30.29013298,-92.41204254,22001,PREVENT,BPMED,CrdPrv,Taking BP Medication
65,2017,LA,Louisiana,Acadia,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,61.5,60.5,62.6,62190,30.29013298,-92.41204254,22001,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication
66,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.3,7.0,7.7,62190,30.29013298,-92.41204254,22001,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
67,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.5,6.2,6.8,62190,30.29013298,-92.41204254,22001,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin)
68,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,9.5,10.7,62190,30.29013298,-92.41204254,22001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
69,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.1,9.5,10.7,62190,30.29013298,-92.41204254,22001,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
70,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,83.7,81.5,86.0,62190,30.29013298,-92.41204254,22001,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
71,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84.3,82.1,86.5,62190,30.29013298,-92.41204254,22001,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening
72,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,9.3,8.5,10.1,62190,30.29013298,-92.41204254,22001,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
73,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,8.1,7.5,8.8,62190,30.29013298,-92.41204254,22001,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
74,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.0,78.2,79.8,62190,30.29013298,-92.41204254,22001,PREVENT,CHECKUP,CrdPrv,Annual Checkup
75,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,77.7,76.8,78.7,62190,30.29013298,-92.41204254,22001,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
76,2017,LA,Louisiana,Acadia,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,77.5,75.9,79.4,62190,30.29013298,-92.41204254,22001,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
77,2017,LA,Louisiana,Acadia,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,75.9,74.1,77.9,62190,30.29013298,-92.41204254,22001,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening
78,2018,LA,Louisiana,Acadia,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,60.2,57.3,63.1,62190,30.29013298,-92.41204254,22001,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
79,2018,LA,Louisiana,Acadia,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,59.0,55.9,62.0,62190,30.29013298,-92.41204254,22001,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening
80,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,11.4,9.9,12.9,62190,30.29013298,-92.41204254,22001,HLTHOUT,COPD,CrdPrv,COPD
81,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,10.3,9.0,11.5,62190,30.29013298,-92.41204254,22001,HLTHOUT,COPD,AgeAdjPrv,COPD
82,2018,LA,Louisiana,Acadia,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,24.3,17.8,32.3,62190,30.29013298,-92.41204254,22001,PREVENT,COREM,CrdPrv,Core preventive services for older men
83,2018,LA,Louisiana,Acadia,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,18.8,14.5,23.9,62190,30.29013298,-92.41204254,22001,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men
84,2018,LA,Louisiana,Acadia,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,23.2,17.2,30.4,62190,30.29013298,-92.41204254,22001,PREVENT,COREW,CrdPrv,Core preventive services for older women
85,2018,LA,Louisiana,Acadia,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,17.2,13.4,21.8,62190,30.29013298,-92.41204254,22001,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women
86,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,26.8,23.7,29.7,62190,30.29013298,-92.41204254,22001,UNHBEH,CSMOKING,CrdPrv,Current Smoking
87,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,27.4,24.1,30.5,62190,30.29013298,-92.41204254,22001,UNHBEH,CSMOKING,AgeAdjPrv,Current Smoking
88,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,50.3,46.5,54.2,62190,30.29013298,-92.41204254,22001,PREVENT,DENTAL,CrdPrv,Dental Visit
89,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,50.1,46.2,54.1,62190,30.29013298,-92.41204254,22001,PREVENT,DENTAL,AgeAdjPrv,Dental Visit
90,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,14.1,13.1,15.0,62190,30.29013298,-92.41204254,22001,HLTHOUT,DIABETES,CrdPrv,Diabetes
91,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,12.4,11.6,13.2,62190,30.29013298,-92.41204254,22001,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
92,2017,LA,Louisiana,Acadia,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,39.1,38.0,40.2,62190,30.29013298,-92.41204254,22001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
93,2017,LA,Louisiana,Acadia,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,33.2,32.4,34.1,62190,30.29013298,-92.41204254,22001,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
94,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.6,3.4,3.9,62190,30.29013298,-92.41204254,22001,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
95,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.3,3.1,3.5,62190,30.29013298,-92.41204254,22001,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease
96,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,33.2,30.5,36.0,62190,30.29013298,-92.41204254,22001,UNHBEH,LPA,CrdPrv,Physical Inactivity
97,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,32.4,29.6,35.0,62190,30.29013298,-92.41204254,22001,UNHBEH,LPA,AgeAdjPrv,Physical Inactivity
98,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,73.2,68.9,77.1,62190,30.29013298,-92.41204254,22001,PREVENT,MAMMOUSE,CrdPrv,Mammography
99,2018,LA,Louisiana,Acadia,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,72.8,68.4,76.7,62190,30.29013298,-92.41204254,22001,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography
100,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,18.2,16.7,19.7,62190,30.29013298,-92.41204254,22001,HLTHOUT,MHLTH,CrdPrv,Mental Health
101,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.7,17.1,20.4,62190,30.29013298,-92.41204254,22001,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health
102,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,Obesity among adults aged >=18 years,%,Crude prevalence,40.0,38.4,41.4,62190,30.29013298,-92.41204254,22001,UNHBEH,OBESITY,CrdPrv,Obesity
103,2018,LA,Louisiana,Acadia,BRFSS,Unhealthy Behaviors,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.9,38.3,41.5,62190,30.29013298,-92.41204254,22001,UNHBEH,OBESITY,AgeAdjPrv,Obesity
104,2018,LA,Louisiana,Acadia,BRFSS,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16.9,15.4,18.5,62190,30.29013298,-92.41204254,22001,HLTHOUT,PHLTH,CrdPrv,Physical Health
